modelo,variable,lag,acf,pacf
XGBoost-opt,precip,7,-0.03775,-0.03674
XGBoost-opt,precip,8,0.0108,0.00244
XGBoost-opt,precip,9,0.01087,0.01277
XGBoost-opt,precip,10,-0.00724,-0.00768
XGBoost-opt,precip,11,-0.00616,-0.00809
XGBoost-opt,precip,12,0.01022,0.00934
XGBoost-opt,precip,13,-0.00711,-0.00438
XGBoost-opt,precip,14,0.00322,-7e-05
XGBoost-opt,precip,15,-0.01415,-0.01343
XGBoost-opt,precip,16,0.00786,0.00596
XGBoost-opt,precip,17,-0.02439,-0.02414
XGBoost-opt,precip,18,0.045,0.0387
XGBoost-opt,precip,19,-0.00964,-0.00042
XGBoost-opt,precip,20,0.07108,0.06952
XGBoost-opt,evap,0,1.0,1.0
XGBoost-opt,evap,1,-0.19974,-0.19974
XGBoost-opt,evap,2,-0.04241,-0.08572
XGBoost-opt,evap,3,-0.02493,-0.05377
XGBoost-opt,evap,4,-0.02025,-0.04277
XGBoost-opt,evap,5,0.05551,0.03924
XGBoost-opt,evap,6,-0.01772,-0.00262
XGBoost-opt,evap,7,-0.0045,-0.00409
XGBoost-opt,evap,8,0.03989,0.04195
XGBoost-opt,evap,9,-0.02657,-0.00843
XGBoost-opt,evap,10,0.01474,0.0104
XGBoost-opt,evap,11,0.01216,0.01979
XGBoost-opt,evap,12,0.02311,0.03399
XGBoost-opt,evap,13,-0.00573,0.00535
XGBoost-opt,evap,14,0.03242,0.0427
XGBoost-opt,evap,15,0.01489,0.03438
XGBoost-opt,evap,16,0.00643,0.02157
XGBoost-opt,evap,17,-0.02122,-0.01066
XGBoost-opt,evap,18,0.01391,0.01196
XGBoost-opt,evap,19,0.03374,0.03626
XGBoost-opt,evap,20,0.01988,0.03454
XGBoost-opt,tmax,0,1.0,1.0
XGBoost-opt,tmax,1,-0.05709,-0.05709
XGBoost-opt,tmax,2,-0.0251,-0.02845
XGBoost-opt,tmax,3,-0.00273,-0.00585
XGBoost-opt,tmax,4,-0.00897,-0.01023
XGBoost-opt,tmax,5,0.02526,0.02401
XGBoost-opt,tmax,6,-0.01293,-0.01062
XGBoost-opt,tmax,7,0.00782,0.00774
XGBoost-opt,tmax,8,0.01305,0.01351
XGBoost-opt,tmax,9,-0.00334,-0.00103
XGBoost-opt,tmax,10,0.00309,0.00283
XGBoost-opt,tmax,11,0.00661,0.00769
XGBoost-opt,tmax,12,-0.02027,-0.01969
XGBoost-opt,tmax,13,0.0313,0.02905
XGBoost-opt,tmax,14,0.0058,0.00871
XGBoost-opt,tmax,15,0.02041,0.02258
XGBoost-opt,tmax,16,0.02205,0.02464
XGBoost-opt,tmax,17,0.00905,0.01475
XGBoost-opt,tmax,18,0.0168,0.01784
XGBoost-opt,tmax,19,0.00147,0.0053
XGBoost-opt,tmax,20,0.01643,0.01758
XGBoost-opt,tmin,0,1.0,1.0
XGBoost-opt,tmin,1,0.03827,0.03827
XGBoost-opt,tmin,2,0.00039,-0.00108
XGBoost-opt,tmin,3,0.01098,0.01102
XGBoost-opt,tmin,4,-0.0177,-0.01857
XGBoost-opt,tmin,5,-0.02461,-0.02325
XGBoost-opt,tmin,6,-0.00742,-0.00575
XGBoost-opt,tmin,7,0.00226,0.00314
XGBoost-opt,tmin,8,0.03178,0.03188
XGBoost-opt,tmin,9,-0.01635,-0.01952
XGBoost-opt,tmin,10,0.02476,0.02539
XGBoost-opt,tmin,11,0.0126,0.0097
XGBoost-opt,tmin,12,0.00711,0.00793
XGBoost-opt,tmin,13,0.01193,0.01176
XGBoost-opt,tmin,14,-0.00509,-0.00589
XGBoost-opt,tmin,15,-0.01954,-0.01814
XGBoost-opt,tmin,16,-0.04083,-0.03975
XGBoost-opt,tmin,17,0.00623,0.01145
XGBoost-opt,tmin,18,-0.03154,-0.03359
XGBoost-opt,tmin,19,-0.01482,-0.012
XGBoost-opt,tmin,20,-0.01093,-0.01337
BiGRU-opt,precip,0,1.0,1.0
BiGRU-opt,precip,1,0.14716,0.14716
BiGRU-opt,precip,2,0.06622,0.04555
BiGRU-opt,precip,3,0.05134,0.03619
BiGRU-opt,precip,4,0.05798,0.04394
BiGRU-opt,precip,5,0.03986,0.02205
BiGRU-opt,precip,6,0.05332,0.03931
BiGRU-opt,precip,7,0.05139,0.03313
BiGRU-opt,precip,8,0.03965,0.02017
